DATASET_BINARY
#lines starting with a hash are comments and ignored during parsing
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throught this file (except in the SEPARATOR line, which uses space).

#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR TAB

#label is used in the legend table (can be changed later)
DATASET_LABEL	riboswitch
Dehalococcoides_sp.	-1	1
Desulfitobacterium_dehalogenans	1	-1
Desulfitobacterium_dichloroeliminans	1	-1
Desulfitobacterium_hafniense	1	-1
Desulfosporosinus_acidiphilus	1	-1
Desulfosporosinus_meridiei	1	-1
Desulfosporosinus_orientis	1	-1
Desulfotomaculum_nigrificans	1	-1
Desulfotomaculum_reducens	1	-1
Desulfotomaculum_ruminis	1	-1
Desulfurivibrio_alkaliphilus	-1	1
Dichelobacter_nodosus	-1	1
Dictyoglomus_thermophilum	1	-1
Dictyoglomus_turgidum	1	-1
Ehrlichia_canis	-1	1
Ehrlichia_chaffeensis	-1	1
Ehrlichia_muris	-1	1
Ehrlichia_ruminantium	-1	1
Enterococcus_casseliflavus	1	-1
Enterococcus_faecalis	1	-1
Enterococcus_faecium	1	-1
Enterococcus_hirae	1	-1
Enterococcus_mundtii	1	-1
Enterococcus_sp.	1	-1
Erysipelothrix_rhusiopathiae	1	-1
Erythrobacter_litoralis	-1	1
Evansella_cellulosilytica	1	-1
Exiguobacterium_antarcticum	1	-1
Exiguobacterium_sibiricum	1	-1
Exiguobacterium_sp.	1	-1
Ferrimonas_balearica	1	-1
Francisella_noatunensis	-1	1
Francisella_philomiragia	-1	1
Francisella_tularensis	-1	1
Fructilactobacillus_sanfranciscensis	1	-1
Fusobacterium_nucleatum	1	-1
Fusobacterium_sp.	1	-1
Gardnerella_vaginalis	-1	1
Geitlerinema_sp._B-33	-1	1
Geobacillus_kaustophilus	1	-1
Geobacillus_sp.	1	-1
Geobacillus_thermodenitrificans	1	-1
Geobacillus_thermoleovorans	1	-1
Gloeocapsa_alpicola	-1	1
Gordonia_sp.	-1	1
Gottschalkia_acidurici	1	-1
Halanaerobium_hydrogeniformans	1	-1
Halanaerobium_praevalens	1	-1
Halobacillus_halophilus	1	-1
Halobacteroides_halobius	1	-1
Halothece_sp._MAG	-1	1
Halothermothrix_orenii	1	-1
Hirschia_baltica	-1	1
Hoyosella_subflava	-1	1
Hydrogenobacter_thermophilus	-1	1
Hyphomicrobium_denitrificans	-1	1
Ignavibacterium_album	-1	1
Ilyobacter_polytropus	1	-1
Komagataeibacter_xylinus	-1	1
Kyrpidia_tusciae	1	-1
Lacrimispora_saccharolytica	1	-1
Lactiplantibacillus_plantarum	1	-1
Lactobacillus_acidophilus	1	-1
Lactobacillus_amylovorus	1	-1
Lactobacillus_crispatus	1	-1
Lactobacillus_delbrueckii	1	-1
Lactobacillus_gasseri	1	-1
Lactobacillus_helveticus	1	-1
Lactobacillus_johnsonii	1	-1
Lactobacillus_kefiranofaciens	1	-1
Lactococcus_garvieae	1	-1
Lactococcus_lactis	1	-1
Lawsonia_intracellularis	-1	1
Legionella_pneumophila	-1	1
Leptolyngbya_sp.	-1	1
Leuconostoc_carnosum	1	-1
Leuconostoc_citreum	1	-1
Leuconostoc_gelidum	1	-1
Leuconostoc_kimchii	1	-1
Leuconostoc_mesenteroides	1	-1
Leuconostoc_sp.	1	-1
Levilactobacillus_brevis	1	-1
Liberibacter_crescens	-1	1
Ligilactobacillus_ruminis	1	-1
Ligilactobacillus_salivarius	1	-1
Limosilactobacillus_fermentum	1	-1
Limosilactobacillus_reuteri	1	-1
Listeria_innocua	1	-1
Listeria_ivanovii	1	-1
Listeria_monocytogenes	1	-1
Listeria_seeligeri	1	-1
Listeria_welshimeri	1	-1
Lysinibacillus_sphaericus	1	-1
Macrococcus_caseolyticus	1	-1
Mahella_australiensis	1	-1
Maricaulis_maris	-1	1
Maridesulfovibrio_hydrothermalis	-1	1
Marinitoga_piezophila	1	-1
Meiothermus_silvanus	-1	1
Melissococcus_plutonius	1	-1
Mesoplasma_florum	1	-1
Mesorhizobium_loti	-1	1
Mesorhizobium_opportunistum	-1	1
Methylophaga_sp.	-1	1
Methylotenera_mobilis	-1	1
Methylotenera_versatilis	-1	1
Microcoleus_sp.	-1	1
Micromonospora_aurantiaca	-1	1
Micromonospora_sp.	-1	1
Mobiluncus_curtisii	-1	1
Moorella_thermoacetica	1	-1
Moraxella_catarrhalis	-1	1
Mycobacterium_avium	-1	1
Mycobacterium_sp.	-1	1
Mycobacteroides_abscessus	-1	1
Mycobacteroides_abscessus_subsp._massiliense	-1	1
Mycolicibacterium_chubuense	-1	1
Mycolicibacterium_gilvum	-1	1
Mycolicibacterium_rhodesiae	-1	1
Mycolicibacterium_smegmatis	-1	1
Mycolicibacterium_vanbaalenii	-1	1
Mycoplasma_gallisepticum	-1	1
Mycoplasma_mycoides	-1	1
Natranaerobius_thermophilus	1	-1
Neorickettsia_sennetsu	-1	1
Nitrobacter_hamburgensis	-1	1
Nitrosomonas_sp.	-1	1
Nitrosospira_multiformis	-1	1
Nocardia_brasiliensis	-1	1
Nocardia_cyriacigeorgica	-1	1
Nocardia_farcinica	-1	1
Nostoc_punctiforme	-1	1
Nostoc_sp.	-1	1
Oceanobacillus_iheyensis	1	-1
Octadecabacter_antarcticus	-1	1
Oenococcus_oeni	1	-1
Oscillibacter_valericigenes	1	-1
Paenibacillus_larvae	1	-1
Paenibacillus_mucilaginosus	1	-1
Paenibacillus_polymyxa	1	-1
Paenibacillus_sp.	1	-1
Paenibacillus_terrae	1	-1
Parachlamydia_acanthamoebae	-1	1
Parageobacillus_thermoglucosidasius	1	-1
Pediococcus_claussenii	1	-1
Pediococcus_pentosaceus	1	-1
Pelagibacterium_halotolerans	-1	1
Petrotoga_mobilis	1	-1
Phenylobacterium_zucineum	-1	1
Photobacterium_profundum	1	-1
Pleurocapsa_sp.	-1	1
Polynucleobacter_necessarius	-1	1
Priestia_megaterium	1	-1
Prochlorococcus_marinus	-1	1
Proteus_mirabilis	-1	1
Providencia_stuartii	-1	1
Pseudanabaena_sp.	-1	1
Pseudoalteromonas_sp.	-1	1
Pseudothermotoga_elfii	1	-1
Pseudothermotoga_hypogea	1	-1
Pseudothermotoga_lettingae	1	-1
Pseudothermotoga_thermarum	1	-1
Pseudovibrio_sp.	-1	1
Ralstonia_pickettii	-1	1
Renibacterium_salmoninarum	-1	1
Rhizobium_leguminosarum	-1	1
Rhodobacter_capsulatus	-1	1
Rhodococcus_hoagii	-1	1
Rhodococcus_jostii	-1	1
Rhodococcus_pyridinivorans	-1	1
Rhodothermus_marinus	-1	1
Roseiflexus_castenholzii	-1	1
Roseiflexus_sp.	-1	1
Ruminiclostridium_cellulolyticum	1	-1
Ruminococcus_bromii	1	-1
Sebaldella_termitidis	1	-1
Selenomonas_ruminantium	1	-1
Shewanella_halifaxensis	1	-1
Shewanella_pealeana	1	-1
Shewanella_piezotolerans	1	1
Shewanella_sediminis	1	-1
Shewanella_sp.	-1	1
Shewanella_violacea	1	-1
Shewanella_woodyi	1	-1
Sinorhizobium_fredii	-1	1
Sinorhizobium_meliloti	-1	1
Solibacillus_silvestris	1	-1
Sphaerochaeta_pleomorpha	-1	1
Sphingobium_chlorophenolicum	-1	1
Sphingobium_sp.	-1	1
Sphingomonas_sp.	-1	1
Sphingopyxis_alaskensis	-1	1
Spiribacter_sp.	-1	1
Spirochaeta_africana	-1	1
Spiroplasma_apis	1	-1
Spiroplasma_chrysopicola	1	-1
Spiroplasma_diminutum	1	-1
Spiroplasma_syrphidicola	1	-1
Spiroplasma_taiwanense	1	-1
Stackebrandtia_nassauensis	-1	1
Stanieria_cyanosphaera	-1	1
Staphylococcus_aureus	1	-1
Staphylococcus_carnosus	1	-1
Staphylococcus_epidermidis	1	1
Staphylococcus_haemolyticus	1	-1
Staphylococcus_lugdunensis	1	1
Staphylococcus_pasteuri	1	-1
Staphylococcus_pseudintermedius	1	-1
Staphylococcus_saprophyticus	1	-1
Staphylococcus_warneri	1	-1
Starkeya_novella	-1	1
Streptobacillus_moniliformis	1	-1
Streptococcus_agalactiae	1	-1
Streptococcus_anginosus	1	1
Streptococcus_cristatus	1	1
Streptococcus_dysgalactiae	1	-1
Streptococcus_gallolyticus	1	-1
Streptococcus_gordonii	1	-1
Streptococcus_infantarius	1	-1
Streptococcus_iniae	1	-1
Streptococcus_intermedius	1	1
Streptococcus_lutetiensis	1	-1
Streptococcus_macedonicus	1	-1
Streptococcus_mitis	1	-1
Streptococcus_oralis	1	1
Streptococcus_parasanguinis	1	-1
Streptococcus_parauberis	1	-1
Streptococcus_pasteurianus	1	-1
Streptococcus_pneumoniae	1	-1
Streptococcus_pseudopneumoniae	1	-1
Streptococcus_pyogenes	1	-1
Streptococcus_salivarius	1	-1
Streptococcus_sp.	1	-1
Streptococcus_thermophilus	1	-1
Streptococcus_uberis	1	-1
Streptomyces_collinus	-1	1
Streptomyces_davaonensis	-1	1
Streptomyces_fulvissimus	-1	1
Streptomyces_griseus	-1	1
Streptomyces_hygroscopicus	-1	1
Streptomyces_scabiei	-1	1
Streptomyces_sp.	-1	1
Synechococcus_sp.	-1	1
Synechocystis_sp.	-1	1
Taylorella_asinigenitalis	-1	1
Tetragenococcus_halophilus	1	-1
Thermincola_potens	1	-1
Thermoanaerobacter_brockii	1	-1
Thermoanaerobacter_italicus	1	-1
Thermoanaerobacter_mathranii	1	-1
Thermoanaerobacter_pseudethanolicus	1	-1
Thermoanaerobacter_sp.	1	-1
Thermoanaerobacter_wiegelii	1	-1
Thermoanaerobacterium_thermosaccharolyticum	1	-1
Thermoanaerobacterium_xylanolyticum	1	1
Thermobacillus_composti	1	-1
